bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10076.23761546347
32,10076.23761546347
33,10076.23761546347
34,10076.23761546347
35,10076.23761546347
36,10076.23761546347
37,10076.23761546347
38,10076.23761546347
39,10076.23761546347
40,10076.23761546347
41,10076.23761546347
42,10076.23761546347
43,10076.23761546347
44,10076.23761546347
45,10076.23761546347
46,10076.23761546347
47,10076.23761546347
48,10076.23761546347
49,10076.23761546347
50,10076.23761546347
51,10076.23761546347
52,10076.23761546347
53,10076.23761546347
54,10076.23761546347
55,10076.23761546347
56,10076.23761546347
57,10076.23761546347
58,10076.23761546347
59,10076.23761546347
60,10076.23761546347
61,10076.23761546347
62,10076.23761546347
63,10076.23761546347
64,10076.23761546347
65,10076.23761546347
66,10076.23761546347
67,10076.23761546347
68,10076.23761546347
69,10076.23761546347
70,10076.23761546347
71,10076.23761546347
72,10076.23761546347
73,10076.23761546347
74,10076.23761546347
75,10076.23761546347
76,10076.23761546347
77,10076.23761546347
78,10076.23761546347
79,10076.23761546347
80,10076.23761546347
81,10076.23761546347
82,10076.23761546347
83,10076.23761546347
84,10076.23761546347
85,10076.23761546347
86,10076.23761546347
87,10076.23761546347
88,10076.23761546347
89,10076.23761546347
90,10076.23761546347
91,10076.23761546347
92,10076.23761546347
93,10076.23761546347
94,10076.23761546347
95,10076.23761546347
96,10076.23761546347
97,10076.23761546347
98,10076.23761546347
99,10076.23761546347
100,10076.23761546347
101,10076.23761546347
102,10076.23761546347
103,10076.23761546347
104,10076.23761546347
105,10076.23761546347
106,10076.23761546347
107,10076.23761546347
108,10076.23761546347
109,10076.23761546347
110,10076.23761546347
111,10076.23761546347
112,10076.23761546347
113,10076.23761546347
114,10076.23761546347
115,10076.23761546347
116,10076.23761546347
117,10076.23761546347
118,10076.23761546347
119,10076.23761546347
120,10076.23761546347
121,10076.23761546347
122,10076.23761546347
123,10076.23761546347
124,10076.23761546347
125,10076.23761546347
126,10076.23761546347
127,10076.23761546347
128,10076.23761546347
129,10076.23761546347
130,10076.23761546347
131,10076.23761546347
132,10076.23761546347
133,10076.23761546347
134,10076.23761546347
135,10076.23761546347
136,10076.23761546347
137,10076.23761546347
138,10076.23761546347
139,10076.23761546347
140,10076.23761546347
141,10076.23761546347
142,10076.23761546347
143,10076.23761546347
144,10076.23761546347
145,10076.23761546347
146,10076.23761546347
147,10076.23761546347
148,10076.23761546347
149,10076.23761546347
150,10076.23761546347
151,10076.23761546347
152,10076.23761546347
153,10076.23761546347
154,10076.23761546347
155,10076.23761546347
156,10076.23761546347
157,10076.23761546347
158,10076.23761546347
159,10076.23761546347
160,10076.23761546347
161,10076.23761546347
162,10076.23761546347
163,10076.23761546347
164,10076.23761546347
165,10076.23761546347
166,10076.23761546347
167,10076.23761546347
168,10076.23761546347
169,10076.23761546347
170,10076.23761546347
171,10076.23761546347
172,10076.23761546347
173,10076.23761546347
174,10076.23761546347
175,10076.23761546347
176,10076.23761546347
177,10076.23761546347
178,10076.23761546347
179,10076.23761546347
180,10076.23761546347
181,10076.23761546347
182,10076.23761546347
183,10076.23761546347
184,10076.23761546347
185,10076.23761546347
186,10076.23761546347
187,10076.23761546347
188,10076.23761546347
189,10076.23761546347
190,10076.23761546347
191,10076.23761546347
192,10076.23761546347
193,10076.23761546347
194,10076.23761546347
195,10076.23761546347
196,10076.23761546347
197,10076.23761546347
198,10076.23761546347
199,10076.23761546347
200,10076.23761546347
201,10076.23761546347
202,10076.23761546347
203,10076.23761546347
204,10076.23761546347
205,10076.23761546347
206,10076.23761546347
207,10076.23761546347
208,10076.23761546347
209,10076.23761546347
210,10076.23761546347
211,10076.23761546347
212,10076.23761546347
213,10076.23761546347
214,10076.23761546347
215,10076.23761546347
216,10076.23761546347
217,10076.23761546347
218,10076.23761546347
219,10076.23761546347
220,10076.23761546347
221,10076.23761546347
222,10076.23761546347
223,10076.23761546347
224,10076.23761546347
